PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Country,ExternalSourceRow,NormalizedName,NormalizedTicket,NameMatch,TicketMatch,NameAndTicketMatch,NameOrTicketMatch,MatchedTrainingIdsByName,MatchedTrainingIdsByTicket,OverlapEvidence
1,0,3,"Abbing, Mr. Anthony",male,42.0,0,0,5547.0,7.11,,S,United States,1,abbing mr anthony,55470,True,False,False,True,[846],[],name_only
2,0,3,"Abbott, Mr. Eugene Joseph",male,13.0,0,2,2673.0,20.05,,S,United States,2,abbott mr eugene joseph,26730,False,False,False,False,[],[],none
3,0,3,"Abbott, Mr. Rossmore Edward",male,16.0,1,1,2673.0,20.05,,S,United States,3,abbott mr rossmore edward,26730,True,False,False,True,[747],[],name_only
4,1,3,"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39.0,1,1,2673.0,20.05,,S,England,4,abbott mrs rhoda mary rosa,26730,False,False,False,False,[],[],none
5,1,3,"Abelseth, Miss. Karen Marie",female,16.0,0,0,348125.0,7.13,,S,Norway,5,abelseth miss karen marie,3481250,False,False,False,False,[],[],none
6,1,3,"Abelseth, Mr. Olaus Jørgensen",male,25.0,0,0,348122.0,7.13,,S,United States,6,abelseth mr olaus j rgensen,3481220,False,False,False,False,[],[],none
7,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,3381.0,24.0,,C,France,7,abelson mr samuel,33810,True,False,False,True,[309],[],name_only
8,1,2,"Abelson, Mrs. Hannah",female,28.0,1,0,3381.0,24.0,,C,France,8,abelson mrs hannah,33810,False,False,False,False,[],[],none
9,1,3,"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27.0,0,0,2699.0,18.1509,,C,Lebanon,9,abi al muna mr nasif qasim,26990,False,False,False,False,[],[],none
10,1,3,"Abrahamsson, Mr. Abraham August Johannes",male,20.0,0,0,3101284.0,7.1806,,S,Finland,10,abrahamsson mr abraham august johannes,31012840,False,False,False,False,[],[],none
11,0,3,"Ådahl, Mr. Mauritz",male,30.0,0,0,7076.0,7.05,,S,Sweden,11,adahl mr mauritz,70760,False,False,False,False,[],[],none
12,0,3,"Adams, Mr. John",male,27.0,0,0,341826.0,8.01,,S,England,12,adams mr john,3418260,True,False,False,True,[402],[],name_only
13,0,3,"Ahlin, Mrs. Johanna Persdotter",female,40.0,1,0,7546.0,9.0906,,S,Sweden,13,ahlin mrs johanna persdotter,75460,False,False,False,False,[],[],none
14,1,3,"Aks, Master. Frank Philip",male,0.8333333333,0,1,392091.0,9.07,,S,England,14,aks master frank philip,3920910,False,False,False,False,[],[],none
15,1,3,"Aks, Mrs. Leah",female,18.0,0,1,392091.0,9.07,,S,England,15,aks mrs leah,3920910,False,False,False,False,[],[],none
16,0,2,"Aldworth, Mr. Augustus Henry",male,35.0,0,0,248744.0,13.0,,S,England,16,aldworth mr augustus henry,2487440,False,False,False,False,[],[],none
17,0,3,"Alexander, Mr. William Albert",male,25.0,0,0,3474.0,7.1709,,S,England,17,alexander mr william albert,34740,False,False,False,False,[],[],none
18,0,3,"Alhomäki, Mr. Ilmari Rudolf",male,19.0,0,0,3101287.0,7.1806,,S,Finland,18,alhomaki mr ilmari rudolf,31012870,True,False,False,True,[841],[],name_only
19,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,3101311.0,7.01,,S,Argentina,19,ali mr ahmed,31013110,True,False,False,True,[211],[],name_only
20,0,3,"Ali, Mr. William",male,25.0,0,0,3101312.0,7.01,,S,Argentina,20,ali mr william,31013120,True,False,False,True,[785],[],name_only
21,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,24160.0,211.6009,,S,United States,21,allen miss elisabeth walton,241600,True,False,False,True,[731],[],name_only
22,0,3,"Allen, Mr. William Henry",male,39.0,0,0,373450.0,8.01,,S,England,22,allen mr william henry,3734500,True,False,False,True,[5],[],name_only
23,1,1,"Allison, Master. Hudson Trevor",male,0.9166666667,1,2,113781.0,151.16,,S,Canada,23,allison master hudson trevor,1137810,True,False,False,True,[306],[],name_only
24,0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781.0,151.16,,S,Canada,24,allison miss helen loraine,1137810,True,False,False,True,[298],[],name_only
