ticket,passenger_count,represented_classes,average_fare,passenger_classes
1601,7,1,56.5,3
347082,7,1,31.28,3
CA. 2343,7,1,69.55,3
3101295,6,1,39.69,3
347088,6,1,27.9,3
CA 2144,6,1,46.9,3
382652,5,1,29.13,3
S.O.C. 14879,5,1,73.5,2
113760,4,1,120.0,1
113781,4,1,151.55,1
17421,4,1,110.88,1
19950,4,1,263.0,1
2666,4,1,19.26,3
347077,4,1,31.39,3
349909,4,1,21.08,3
4133,4,1,25.47,3
LINE,4,1,0.0,3
PC 17757,4,1,227.53,1
W./C. 6608,4,1,34.38,3
110152,3,1,86.5,1
110413,3,1,79.65,1
13502,3,1,77.96,1
230080,3,1,26.0,2
239853,3,1,0.0,2
24160,3,1,211.34,1
248727,3,1,33.0,2
29106,3,1,18.75,2
345773,3,1,24.15,3
347742,3,1,11.13,3
35273,3,1,113.28,1
